Knight,13,14,8,12,16,14,14,8,9,8,103
Warrior,13,14,7,12,14,18,10,8,9,11,103
Thief,12,10,10,14,10,10,18,10,8,12,102
Outcast,13,9,14,9,8,11,12,16,16,8,103
Acolyte,14,12,10,13,5,12,18,8,16,10,104
Sorcerer,14,10,16,12,10,8,10,20,8,10,104
Pyromancer,14,9,15,10,8,10,10,16,16,10,104
Cleric,14,12,16,10,11,12,8,7,20,8,104
Deprived,1,10,10,10,10,10,10,10,10,10,90
Wayfarer,14,12,9,12,15,14,18,8,7,9,104
Soldier,12,12,10,12,12,16,16,8,9,7,102
Sentinel,16,14,6,13,20,24,10,8,6,5,106
Mercenary,12,10,8,12,14,12,18,8,9,11,102
Assassin,11,10,14,13,9,8,13,18,6,10,101
Samurai,18,13,8,12,17,14,18,7,9,10,108
Bandit,16,14,10,12,15,20,10,8,9,8,106
Paladin,18,10,10,8,26,28,7,4,12,5,110
Herald,11,10,10,8,16,13,16,7,15,6,101
Captain,15,14,10,10,18,17,14,8,6,10,107
Peasant,12,13,8,12,8,10,16,8,8,19,102
Explorer,18,10,7,10,13,12,18,10,10,18,108
Brawler,15,15,10,15,10,15,15,7,8,10,105
Hunter,16,10,10,14,8,10,24,11,10,9,106
Priest,16,9,16,12,9,12,12,8,20,8,106
Heretic,12,9,15,10,8,10,11,17,14,8,102
Skeptic,17,8,15,10,10,12,11,14,17,10,107
Accursed,1,0,0,0,0,0,0,0,0,0,0
